ttt,ID,habitat,habitat2,initial_size,Lf,tethered.density,overall.density,date.mortality.recorded,date.last.alive,start.date,time_alive,length.experiment,Mortality,mort2
HBHD1,1,HB,H,129,105,0.054761905,0.094047619,8/1/2004,7/24/2004,6/29/2004,33,46,1,0
HBHD1,2,HB,H,140,126,0.054761905,0.094047619,8/1/2004,7/24/2004,6/29/2004,33,46,1,0
HBHD1,3,HB,H,139,135,0.054761905,0.094047619,8/1/2004,7/24/2004,6/29/2004,33,46,1,0
HBHD1,4,HB,H,135,149,0.054761905,0.094047619,8/1/2004,7/24/2004,6/29/2004,33,46,1,0
HBHD1,5,HB,H,146,146,0.054761905,0.094047619,8/1/2004,7/24/2004,6/29/2004,33,46,1,0
HBHD1,6,HB,H,150,E,0.054761905,0.094047619,7/17/2004,7/10/2004,6/29/2004,18,46,1,0
HBHD1,7,HB,H,149,134,0.054761905,0.094047619,7/24/2004,7/17/2004,6/29/2004,25,46,1,0
HBHD1,8,HB,H,135,138,0.054761905,0.094047619,8/8/2004,8/8/2004,6/29/2004,40,46,1,0
HBHD1,9,HB,H,127,144,0.054761905,0.094047619,7/17/2004,7/10/2004,6/29/2004,18,46,1,0
HBHD1,10,HB,H,111,M,0.054761905,0.094047619,7/10/2004,6/29/2004,6/29/2004,11,46,1,0
HBHD2,11,HB,H,139,135,0.025,0.083333333,7/10/2004,6/30/2004,6/30/2004,10,45,1,0
HBHD2,12,HB,H,147,150,0.025,0.083333333,NA,7/25/2004,6/30/2004,45,45,0,1
HBHD2,13,HB,H,147,E,0.025,0.083333333,8/1/2004,8/1/2004,6/30/2004,32,45,1,0
HBHD2,14,HB,H,144,M,0.025,0.083333333,8/8/2004,8/1/2004,6/30/2004,39,45,1,0
HBHD2,15,HB,H,142,139,0.025,0.083333333,8/8/2004,8/1/2004,6/30/2004,39,45,1,0
HBHD2,16,HB,H,136,137,0.025,0.083333333,NA,8/15/2004,6/30/2004,45,45,0,1
HBHD2,17,HB,H,121,117,0.025,0.083333333,NA,8/15/2004,6/30/2004,45,45,0,1
HBHD2,18,HB,H,130,129,0.025,0.083333333,NA,8/15/2004,6/30/2004,45,45,0,1
HBHD2,19,HB,H,119,E,0.025,0.083333333,8/1/2004,7/5/2004,6/30/2004,32,45,1,0
HBHD2,20,HB,H,147,M,0.025,0.083333333,7/17/2004,7/10/2004,6/30/2004,17,45,1,0
HBHD3,21,HB,H,121,118,0.021428571,0.086904762,NA,8/15/2004,6/30/2004,45,45,0,1
